"","FIPS","ISO2","ISO3","UN","NAME","AREA","POP2005","REGION","SUBREGION","LON","LAT","GDESC","GVALUE","GYEAR"
"6476","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," JONES JOHN BUCKLEY ",134,187
"206154","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JONES JOHN BUCKLEY ",302,187
"4910","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," JOSEPH ",26,NA
"206155","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JOSEPH ",302,NA
"19016","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," JOSEPH ",26,NA
"206156","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JOSEPH OF ARIMATHEA ",302,6
"206157","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JUDITH AND SALOME ",302,574
"206158","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JUDOC ",302,473
"6477","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," JUDOC ",134,473
"7133","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," JUDOC ",65,473
"19211","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861," JUDOC ",22,473
"5617","AU","AT","AUT",40,"Austria",8245,8291979,150,155,14.912,47.683," JUDOC ",24,473
"206159","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JULIAN OF LE MANS ",302,342
"206160","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JULIANA ",302,334
"206161","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JULIANA FALCONIERI ",302,130
"206162","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JULIOT ",302,NA
"206163","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," JULIUS AND AARON ",302,327
"21","BU","BG","BGR",100,"Bulgaria",11063,7744591,150,151,25.231,42.761," JULIUS THE VETERAN ",3,327
"6478","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," JUSTUS JUST ",134,441
"6479","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," JUSTUS JUST ",134,NA
"6480","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," JUSTUS OF BEAUVAIS ",134,308
"1285","BE","BE","BEL",56,"Belgium",0,10398049,150,155,4.664,50.643," JUSTUS OF BEAUVAIS ",8,308
"19212","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861," JUSTUS OF BEAUVAIS ",22,308
"1023","LH","LT","LTU",440,"Lithuania",6268,3425077,150,154,23.897,55.336," KALINOWSKI RAPHAEL ",5,285
"5618","AU","AT","AUT",40,"Austria",8245,8291979,150,155,14.912,47.683," KALINOWSKI RAPHAEL ",24,285
"1639","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," KALINOWSKI RAPHAEL ",17,285
"206164","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," KEMBLE JOHN ",302,221
"206165","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," KENELM CYNHELM ",302,568
"206166","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," KENTIGERN MUNGO ",302,431
"5063","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," KENTIGERNA CAENTIGERN QUENTIGERNA ",93,523
"5064","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," KEVIN COEMGEN ",93,435
"7134","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," KILIAN CHILIAN ",65,489
"6481","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," COMPANIONS ",134,269
"292","CH","CN","CHN",156,"China",932743,1312978855,142,30,106.514,33.42," COMPANIONS ",12,269
