"","FIPS","ISO2","ISO3","UN","NAME","AREA","POP2005","REGION","SUBREGION","LON","LAT","GDESC","GVALUE","GYEAR"
"64117","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," RODRIGUEZ ALPHONSUS ",134,200
"206244","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ROE ALBAN BARTHOLOMEW ",302,211
"206245","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ROGER OF ELLANT ",302,76
"15414","NO","NO","NOR",578,"Norway",30625,4638836,150,154,8.74,61.152," ROGNVALD RONALD ",18,74
"64118","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," ROMANUS ",134,451
"64119","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," ROMUALD OF RAVENNA ",134,19
"8576","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," ROSALIA OF PALERMO ",87,68
"885","JA","JP","JPN",392,"Japan",36450,127896740,142,30,139.068,36.491," RUIZ LORENZO ",7,207
"206246","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," RUMON ",302,402
"19021","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," RUMWOLD RUMBOLD ",26,NA
"19022","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," RUPERT ",26,504
"13814",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," SABAS OF JERUSALEM ",16,391
"206247","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SAETHRITH SAETHRYDA ",302,459
"242","GK","GG","GGY",831,"Guernsey",0,0,150,154,-2.576,49.459," SAMSON ",2,410
"206248","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SAMSON ",302,410
"2421","GK","GG","GGY",831,"Guernsey",0,0,150,154,-2.576,49.459," SAMTHANN ",2,526
"206249","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SAMTHANN ",302,526
"16313","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," SARKANDER JOHN ",17,202
"211","BU","BG","BGR",100,"Bulgaria",11063,7744591,150,151,25.231,42.761," SAVA SABAS OF SERBIA ",3,100
"2371","RB","RS","SRB",688,"Serbia",0,9863026,150,39,20.806,44.032," SAVA SABAS OF SERBIA ",2,100
"1747","RS","RU","RUS",643,"Russia",1638094,143953092,150,151,96.689,61.988," SERAPHIM OF SAROV ",13,253
"1748","RS","RU","RUS",643,"Russia",1638094,143953092,150,151,96.689,61.988," SERF SERVANUS ",13,402
"1749","RS","RU","RUS",643,"Russia",1638094,143953092,150,151,96.689,61.988," SERGIUS OF RADONEZH ",13,140
"18762","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," SERNIN SATURNINUS ",70,308
"8577","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," SETON ELIZABETH BAYLEY ",87,250
"212","BU","BG","BGR",100,"Bulgaria",11063,7744591,150,151,25.231,42.761," SEVEN APOSTLES OF BULGARIA ",3,590
"3","AL","AL","ALB",8,"Albania",2740,3153731,150,39,20.068,41.143," SEVEN APOSTLES OF BULGARIA ",1,590
"17410","RS","RU","RUS",643,"Russia",1638094,143953092,150,151,96.689,61.988," SEVEN APOSTLES OF BULGARIA ",13,590
"206250","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SEVEN BROTHERS ",302,158
"206251","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SEVEN SERVITE FOUNDERS ",302,105
"64120","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," SEVEN SERVITE FOUNDERS ",134,105
"7153","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," SEVEN SERVITE FOUNDERS ",65,105
"99","LE","LB","LBN",422,"Lebanon",1023,401074,142,145,35.888,33.92," SHARBEL MAKLOUF THE MARONITE ",1,281
"206252","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SHERWIN RALPH ",302,175
"15415","NO","NO","NOR",578,"Norway",30625,4638836,150,154,8.74,61.152," SIGFRID ",18,25
"19023","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," SIGFRID ",26,25
"4412","DA","DK","DNK",208,"Denmark",4243,5416945,150,154,9.264,56.058," SIGFRID ",16,25
"596","FI","FI","FIN",246,"Finland",30459,5246004,150,154,26.272,64.504," SIGFRID ",7,25
"4923","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," SIMON ",26,6
"64121","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," SIMON OF CREPY ",134,42
"206253","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SIMON STOCK ",302,112
"5087","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," SIMON STOCK ",93,112
"18763","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," SIMON STOCK ",70,112
"206254","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SOCRATES AND STEPHEN ",302,NA
"1613","PE","PE","PER",604,"Peru",128000,27274266,19,5,-75.552,-9.326," SOLANO FRANCIS ",7,194
"371","CO","CO","COL",170,"Colombia",103870,4494579,19,5,-73.076,3.9," SOLANO FRANCIS ",2,194
"32","CI","CL","CHL",152,"Chile",74880,16295102,19,5,-69.433,-23.389," SOLANO FRANCIS ",2,194
"1601","PA","PY","PRY",600,"Paraguay",39730,5904342,19,5,-58.391,-23.236," SOLANO FRANCIS ",2,194
"74","AR","AR","ARG",32,"Argentina",273669,38747148,19,5,-65.167,-35.377," SOLANO FRANCIS ",3,194
"16","BL","BO","BOL",68,"Bolivia",108438,9182015,19,5,-64.671,-16.715," SOLANO FRANCIS ",1,194
"210","UY","UY","URY",858,"Uruguay",17502,3325727,19,5,-56.012,-32.8," SOLANO FRANCIS ",1,194
"206255","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SOUTHWELL ROBERT ",302,185
"206256","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SOUTHWORTH JOHN ",302,217
"16314","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," STANISLAUS OF CRACOW ",17,39
"1024","LH","LT","LTU",440,"Lithuania",6268,3425077,150,154,23.897,55.336," STANISLAUS OF CRACOW ",5,39
"7154","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," STEIN AND EDITH ",65,296
"16315","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," STEIN AND EDITH ",17,296
"19219","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861," STEIN AND EDITH ",22,296
"206257","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," STEPHEN ",302,341
"18764","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," STEPHEN I ",70,310
"206258","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," STEPHEN HARDING ",302,63
"64122","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," STEPHEN HARDING ",134,63
"8024","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," STEPHEN OF HUNGARY ISTVAN ",25,23
"64123","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," STEPHEN OF MURET ",134,57
"206259","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," STEPHEN OF MURET ",302,57
"64124","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," STITHIAN STEDIANA ",134,NA
"206260","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," STITHIAN STEDIANA ",302,NA
"206261","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," STONE JOHN ",302,163
"5088","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," SUNNIVA SYNNOVE ",93,NA
"15416","NO","NO","NOR",578,"Norway",30625,4638836,150,154,8.74,61.152," SUNNIVA SYNNOVE ",18,NA
"206262","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SWITHBERT SUIDBERT ",302,507
"206263","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," SWITHUN SWITHIN ",302,578
"8578","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," SYLVESTER SILVESTER ",87,337
"8579","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," TANCRED AND TORTHRED AND TOVA ",87,NA
"7155","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," TECLA THECLA OF ENGLAND OF KITZINGEN ",65,555
"206264","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," TECLA THECLA OF ENGLAND OF KITZINGEN ",302,555
"206265","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," TENENAN TININOR ",302,459
"321","CI","CL","CHL",152,"Chile",74880,16295102,19,5,-69.433,-23.389," TERESA OF LOS ANDES ",2,289
"206266","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," THECLA TECLA OF ICONIUM ",302,6
"8580","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," THEOBALD THIBAUT OF PROVINS ",87,32
"206267","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," THEODORE OF CANTERBURY AND TARSUS ",302,490
"5089","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," THEODORE OF CANTERBURY AND TARSUS ",93,490
"17411","RS","RU","RUS",643,"Russia",1638094,143953092,150,151,96.689,61.988," THEODOSIUS OF KIEV OF THE CAVES ",13,37
"1133","MO","MA","MAR",504,"Morocco",44630,30494991,2,15,-5.758,32.706," THERESA OF AVILA ",4,567
"64125","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," THERESA OF LISIEUX ",134,280
"826","IN","IN","IND",356,"India",297319,1134403141,142,34,78.5,21," THOMAS ",8,6
"8581","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," THOMAS AQUINAS ",87,115
"206268","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," THOMAS BECKET OF CANTERBURY ",302,79
"64126","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," THOMAS BECKET OF CANTERBURY ",134,79
"7156","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," THOMAS BECKET OF CANTERBURY ",65,79
"47","AM","AM","ARM",51,"Armenia",2820,3017661,142,145,44.563,40.534," THOMAS BECKET OF CANTERBURY ",7,79
"1194","MX","MX","MEX",484,"Mexico",190869,104266392,19,13,-102.535,23.951," THOMAS OF VILLANOVA ",5,168
"87","AS","AU","AUS",36,"Australia",768230,20310208,9,53,136.189,-24.973," THOMAS OF VILLANOVA ",4,168
"401","CU","CU","CUB",192,"Cuba",10982,11259905,19,29,-77.781,21.297," THOMAS OF VILLANOVA ",2,168
"15417","NO","NO","NOR",578,"Norway",30625,4638836,150,154,8.74,61.152," THORFINN ",18,119
"64127","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," TROPHIMUS OF ARLES ",134,308
"18765","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," TURIBIUS OF MOGROVEIO ",70,190
"1614","PE","PE","PER",604,"Peru",128000,27274266,19,5,-75.552,-9.326," TURIBIUS OF MOGROVEIO ",7,190
"18766","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," TWELVE APOSTLES OF IRELAND ",70,NA
"1615","PE","PE","PER",604,"Peru",128000,27274266,19,5,-75.552,-9.326," TWELVE APOSTLES OF IRELAND ",7,NA
"18767","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," TYDFIL TUDFUL ",70,NA
"1616","PE","PE","PER",604,"Peru",128000,27274266,19,5,-75.552,-9.326," TYDFIL TUDFUL ",7,NA
"19024","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," ULFRID WULFRID ",26,20
"206269","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," URSULA AND COMPANIONS ",302,342
"206270","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," VALENTINE ",302,308
"1287","BE","BE","BEL",56,"Belgium",0,10398049,150,155,4.664,50.643," VEDAST VAAST FOSTER ",8,395
"206271","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," VEDAST VAAST FOSTER ",302,395
"8582","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," VENANTIUS FORTUNATUS ",87,430
"206272","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," VICTOR ",302,326
"4924","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," VICTOR ",26,NA
"4925","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," VICTORIA ",26,NA
"2910","CH","CN","CHN",156,"China",932743,1312978855,142,30,106.514,33.42," VIETNAM MARTYRS OF TONKIN INDO CHINA ",12,266
"1721","RP","PH","PHL",608,"Philippines",29817,84566163,142,35,122.466,11.118," VIETNAM MARTYRS OF TONKIN INDO CHINA ",2,266
"64128","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," VIETNAM MARTYRS OF TONKIN INDO CHINA ",134,266
"206273","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," VIGOR ",302,394
"206274","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," VINCENT OF SARAGOSSA ",302,327
"200","TS","TN","TUN",788,"Tunisia",15536,10104685,2,15,9.596,35.383," VINCENT DE PAUL ",1,219
"16316","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," VINCENT DE PAUL ",17,219
"5090","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," VINCENT DE PAUL ",93,219
"5623","AU","AT","AUT",40,"Austria",8245,8291979,150,155,14.912,47.683," VINCENT DE PAUL ",24,219
"18768","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," VINCENT FERRER ",70,144
"64129","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," VINCENT FERRER ",134,144
"8583","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," VINCENT FERRER ",87,144
"206275","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," VINCENT FERRER ",302,144
"7157","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," VITUS GUY AND MODESTUS AND CRESCENTIA ",65,326
"206276","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," VITUS GUY AND MODESTUS AND CRESCENTIA ",302,326
"17412","RS","RU","RUS",643,"Russia",1638094,143953092,150,151,96.689,61.988," VLADIMIR ",13,16
"206277","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WALARIC VALERY ",302,437
"7158","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," WALBURGA WALPURGIS VAUBOURG ",65,547
"64130","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," WALBURGA WALPURGIS VAUBOURG ",134,547
"206278","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WALBURGA WALPURGIS VAUBOURG ",302,547
"206279","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WALL JOHN MARSH ",302,221
"18769","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," WALPOLE HENRY ",70,185
"206280","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WALPOLE HENRY ",302,185
"206281","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WANDRILLE WANDREGISILUS ",302,473
"206282","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WARD MARGARET ",302,179
"206283","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WEBSTER AUGUSTINE ",302,161
"206284","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WELLS SWITHUN ",302,182
"206285","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WHITE EUSTACE ",302,182
"7159","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," WIGBERT ",65,525
"206286","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WIGBERT ",302,525
"206287","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WILFRID ",302,502
"64131","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," WILFRID ",134,502
"16513","PO","PT","PRT",620,"Portugal",9150,10528226,150,39,-8.058,40.309," WILGEFORTIS UNCUMBER LIBERATA KUMMERNIS ",15,NA
"206288","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WILLEHAD ",302,553
"8584","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," WILLIAM OF MALAVALLA ",87,73
"64132","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," WILLIAM OF MALAVALLA ",134,73
"7160","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," WILLIAM OF MALAVALLA ",65,73
"206289","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WILLIAM OF NORWICH ",302,66
"206290","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WILLIAM OF ROSKILDE ",302,34
"4413","DA","DK","DNK",208,"Denmark",4243,5416945,150,154,9.264,56.058," WILLIAM OF ROSKILDE ",16,34
"13815",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," WILLIBALD WILLEBALD ",16,552
"206291","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WILLIBALD WILLEBALD ",302,552
"7161","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," WILLIBALD WILLEBALD ",65,552
"5091","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," WILLIBRORD ",93,526
"206292","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WILLIBRORD ",302,526
"7162","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," WILLIBRORD ",65,526
"4414","DA","DK","DNK",208,"Denmark",4243,5416945,150,154,9.264,56.058," WILLIBRORD ",16,526
"4415","DA","DK","DNK",208,"Denmark",4243,5416945,150,154,9.264,56.058," WILLIGIS ",16,14
"19025","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," WILLIGIS ",26,14
"8585","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," WILLIGIS ",87,14
"206293","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WINEFRIDE GWENFREWI ",302,459
"7163","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," WINNIBALD WINEBALD ",65,540
"206294","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WINNIBALD WINEBALD ",302,540
"206295","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WINWALOE WINNOL ONOLAUS ",302,402
"352","CD","TD","TCD",148,"Chad",125920,10145609,2,17,18.665,15.361," WINWALOE WINNOL ONOLAUS ",3,402
"206296","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WIRO WERA ",302,537
"19220","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861," WOLFGANG OF REGENSBURG ",22,616
"19221","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861," WULFHAD AND RUFFIN ",22,NA
"206297","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WULFRAM WOLFRAM ",302,459
"206298","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," WULFSTAN WULSTAN ",302,48
"64133","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," WULFSTAN WULSTAN ",134,48
"5092","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," WYLLOW ",93,NA
"16514","PO","PT","PRT",620,"Portugal",9150,10528226,150,39,-8.058,40.309," XAVIER FRANCIS ",15,69
"827","IN","IN","IND",356,"India",297319,1134403141,142,34,78.5,21," XAVIER FRANCIS ",8,69
"886","JA","JP","JPN",392,"Japan",36450,127896740,142,30,139.068,36.491," XAVIER FRANCIS ",7,69
"2911","CH","CN","CHN",156,"China",932743,1312978855,142,30,106.514,33.42," XAVIER FRANCIS ",12,69
"206299","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," YOUVILLE MARGARET D ",302,503
"8586","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," ZACCARIA ANTONY ",87,163
"206300","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ZACHARIAS ",302,536
"7164","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," ZACHARIAS ",65,536
"57","EZ","CZ","CZE",203,"Czech Republic",7727,10191762,150,151,15.338,49.743," ZDISLAVA BERKA ",1,106
"206301","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ZITA SITHA CITHA ",302,114
